                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7089,                0.92585,                0.89006,                0.33291,                0.15906,                0.14828,                0.04488,                 2.7783,                 1.8415,                 1.1728,              0.0002375,              0.0002375,              0.0002375
                      2,                 1.6448,                0.87597,                0.89164,                0.39691,                0.28534,                0.31892,                 0.1156,                 2.2761,                 1.3272,                 1.1201,             0.00048557,             0.00048557,             0.00048557
                      3,                 1.6651,                0.89592,                0.90128,                0.46181,                0.28705,                0.27813,                0.10506,                 2.2549,                 1.3493,                  1.081,             0.00073166,             0.00073166,             0.00073166
                      4,                 1.6846,                0.90252,                0.90894,                 0.5706,                0.22251,                0.21102,                0.06734,                 2.4389,                 1.4518,                 1.0819,             0.00097577,             0.00097577,             0.00097577
                      5,                  1.803,                0.97993,                0.90489,                0.58524,                0.34836,                0.32163,                0.12691,                 2.2365,                 1.3102,                 1.0928,              0.0012179,              0.0012179,              0.0012179
                      6,                 1.7589,                 0.9603,                0.90619,                0.37001,                0.32802,                0.27922,                0.10472,                 2.1913,                 1.5235,                 1.0905,              0.0012252,              0.0012252,              0.0012252
                      7,                 1.7586,                0.95869,                0.91732,                0.45531,                0.32283,                0.33883,                0.11652,                 2.3267,                 1.3293,                 1.1107,              0.0012203,              0.0012203,              0.0012203
                      8,                 1.7637,                0.95979,                0.91411,                0.55317,                0.29322,                0.33186,                0.11753,                 2.3409,                 1.3251,                 1.0953,              0.0012154,              0.0012154,              0.0012154
                      9,                 1.7453,                0.94954,                0.90837,                0.60865,                0.30246,                0.34544,                0.13322,                 2.3128,                 1.4276,                 1.0999,              0.0012104,              0.0012104,              0.0012104
                     10,                 1.7398,                0.95012,                 0.9138,                0.42263,                0.25725,                0.27774,                 0.0949,                 2.4517,                  1.424,                 1.1066,              0.0012055,              0.0012055,              0.0012055
                     11,                 1.7788,                0.96044,                0.91945,                  0.501,                0.34596,                0.33181,                0.10731,                 2.3962,                 1.3581,                  1.113,              0.0012005,              0.0012005,              0.0012005
                     12,                 1.8497,                 1.0031,                0.91031,                0.02509,                0.01415,                0.01551,                0.00464,                  4.848,                 5.6822,                 1.6798,              0.0011955,              0.0011955,              0.0011955
                     13,                 1.7818,                0.95188,                 0.9114,                0.53009,                0.27679,                0.29769,                0.10361,                 2.2678,                 1.3544,                 1.0857,              0.0011906,              0.0011906,              0.0011906
                     14,                 1.8087,                0.96775,                0.91792,                0.08055,                 0.0631,                0.06296,                0.02238,                 3.1621,                 4.2898,                  1.212,              0.0011856,              0.0011856,              0.0011856
                     15,                 1.7939,                0.98466,                0.91615,                0.48707,                0.35558,                0.34563,                0.11408,                 2.3672,                 1.3653,                 1.1266,              0.0011807,              0.0011807,              0.0011807
                     16,                   1.75,                0.96041,                0.90526,                0.44934,                0.41445,                0.34086,                0.13004,                 2.2651,                 1.4536,                 1.0786,              0.0011757,              0.0011757,              0.0011757
                     17,                 1.7487,                0.94161,                0.91333,                0.39506,                0.24899,                 0.2262,                0.06486,                 2.5108,                 1.6892,                 1.1266,              0.0011708,              0.0011708,              0.0011708
